,Mean,Variance,Weight
0,0.0014882019276971986,0.00019525488234165022,0.7608672512454155
1,0.00030263444176138575,2.3118830144973725e-06,0.7521738167127335
2,0.00023312290068123684,8.042924406299005e-08,0.7478066154818135
3,0.00022201211028189912,5.5270494823112317e-08,0.7433890900055049
4,0.00021792593810924962,5.080281559499281e-08,0.740662729307893
5,0.00021447477307728378,4.713844757147452e-08,0.7383466001719143
6,0.00021181747424349432,4.4346705538351445e-08,0.7365445980245116
7,0.00021041976898255812,4.288746044249503e-08,0.7355886010807234
8,0.00020994695075690438,4.239663381362574e-08,0.7352626003053259
9,0.00020982284995727608,4.2268568912387376e-08,0.7351764931668173
10,0.00020979302114077379,4.223787451079724e-08,0.7351557402310454
11,0.00020978601927031503,4.223067547782351e-08,0.7351508649485516
12,0.00020978438513168327,4.2228995672729577e-08,0.7351497269029714
13,0.00020978400426426588,4.222860418108278e-08,0.7351494616472698
14,0.00020978391552395779,4.222851296642634e-08,0.7351493998432743
15,0.00020978389484941482,4.222849171547148e-08,0.7351493854442641
16,0.0002097838900327834,4.222848676455415e-08,0.7351493820896668
