,Mean,Variance,Weight
0,1.9175592632900307,0.007174244062855666,0.008695745725900348
1,1.9175587462345876,5.935054720307257e-06,0.008697776684425021
2,1.91755926066643,5.932788970531093e-06,0.008695736110849166
3,1.9175592588613202,5.935061352061982e-06,0.008695742133194425
4,1.9175592702692428,5.935045789445028e-06,0.008695704007079448
5,1.9175592819988379,5.935088381218473e-06,0.008695664781852177
6,1.9175592956541128,5.935131131851278e-06,0.008695619103554894
7,1.9175593085987614,5.9351828666666605e-06,0.008695575793248391
8,1.9175593162421831,5.935234973307966e-06,0.008695550216560296
9,1.917559318977794,5.935266916039627e-06,0.008695541061995202
10,1.9175593197172711,5.935278506852098e-06,0.008695538587292766
11,1.9175593198970609,5.935281653315671e-06,0.00869553798560564
12,1.9175593199394,5.9352824192264894e-06,0.008695537843911957
13,1.917559319949289,5.935282599647056e-06,0.008695537810816415
14,1.9175593199515943,5.935282641790003e-06,0.00869553780310142
15,1.9175593199521315,5.9352826516143145e-06,0.008695537801303783
16,1.9175593199522567,5.9352826539033795e-06,0.00869553780088497
