,Mean,Variance,Weight
0,0.6352493078617668,0.019042639013990417,0.1769711260760259
1,0.7187023594093698,0.059224393853705835,0.24052179645765587
2,0.7046523286348123,0.05916688092456954,0.24352039728300745
3,0.6921204115422649,0.06672204789849835,0.24794340273366205
4,0.6846187604085363,0.07102384553319213,0.2506648989867771
5,0.678365865930429,0.07459066159160728,0.25297973160850634
6,0.6735795291966782,0.07726522911800143,0.25478077038750074
7,0.6710685350143745,0.07864203722852445,0.25573595147014117
8,0.670217049523903,0.0791061576564838,0.2560615044564076
9,0.6699926076231728,0.07922906103278393,0.2561474592018437
10,0.6699385474071957,0.07925876549383923,0.2561681718136791
11,0.6699258496269499,0.0792657501800519,0.2561730373576092
12,0.669922885679157,0.07926738101495075,0.25617417311380364
13,0.6699221948485385,0.07926776115151198,0.25617443783499405
14,0.6699220338868733,0.07926784972366878,0.2561744995144003
15,0.6699219963862644,0.07926787035915209,0.25617451388438106
16,0.6699219876495925,0.07926787516668994,0.25617451723221507
