,0-1,1-2,2-3,3-4,4-5,5-6
KIR3DP1,0.07277145626097836,0.3438396313178421,0.6138774357929797
KIR2DS5,0.06987787742298383,0.6708276232606448,1.090094887798548
KIR2DL3,0.05564987994391839,0.8903980791026942
KIR2DP1,0.05677569794536606,0.9226050916121985
KIR2DS3,0.019357437370784644,0.8323698069437397,1.40021730536778,1.911338805947599
KIR2DS2,0.024852519955473534,0.8698381984415737
KIR2DL4,0.07277145626097836,0.6097981280541231,1.049962677412762
KIR3DL1,0.029826126195467272,0.8649576596685509
KIR3DS1,0.22978830836770564,0.9264545108618438,1.5650651964814704
KIR2DL2,0.00985952686423111,0.6408692461750222
KIR3DL2,0.07277145626097836,0.8149210304146103,1.0145646889019437
KIR2DS4,0.01633550211052586,0.8331106076368189
KIR2DL1,0.10832821639789274,0.7823704517625586
KIR2DS1,0.04996508203920891,0.344203898492328
KIR2DL5,0.07439419111883787,0.6200061649405278,0.9071703616887857
